Original_Contig_Name	Bin	Sample
AB_1215_scaffold_100319	NoBin	AB_1215
AB_1215_scaffold_10032	AB_1215_Bin_93	AB_1215
AB_1215_scaffold_100320	NoBin	AB_1215
AB_1215_scaffold_100321	NoBin	AB_1215
AB_1215_scaffold_100322	AB_1215_Bin_115	AB_1215
AB_1215_scaffold_100323	NoBin	AB_1215
AB_1215_scaffold_100324	NoBin	AB_1215
AB_1215_scaffold_100325	AB_1215_Bin_47	AB_1215
AB_1215_scaffold_100326	NoBin	AB_1215
AB_1215_scaffold_100327	AB_1215_Bin_72	AB_1215
AB_1215_scaffold_100328	NoBin	AB_1215
AB_1215_scaffold_100329	NoBin	AB_1215
AB_1215_scaffold_10033	AB_1215_Bin_147	AB_1215
AB_1215_scaffold_100330	NoBin	AB_1215
AB_1215_scaffold_100331	NoBin	AB_1215
AB_1215_scaffold_100332	NoBin	AB_1215
AB_1215_scaffold_100333	AB_1215_Bin_18	AB_1215
AB_1215_scaffold_100334	NoBin	AB_1215
AB_1215_scaffold_100335	AB_1215_Bin_84	AB_1215
AB_1215_scaffold_100336	NoBin	AB_1215
AB_1215_scaffold_100337	AB_1215_Bin_22	AB_1215
AB_1215_scaffold_100338	AB_1215_Bin_27	AB_1215
AB_1215_scaffold_100339	NoBin	AB_1215
AB_1215_scaffold_10034	NoBin	AB_1215
AB_1215_scaffold_100340	AB_1215_Bin_151	AB_1215
AB_1215_scaffold_100341	NoBin	AB_1215
AB_1215_scaffold_100342	NoBin	AB_1215
AB_1215_scaffold_100343	NoBin	AB_1215
AB_1215_scaffold_100344	NoBin	AB_1215
AB_1215_scaffold_100345	NoBin	AB_1215
AB_1215_scaffold_100346	NoBin	AB_1215
AB_1215_scaffold_100347	AB_1215_Bin_72	AB_1215
AB_1215_scaffold_100348	AB_1215_Bin_42	AB_1215
AB_1215_scaffold_100349	NoBin	AB_1215
AB_1215_scaffold_10035	AB_1215_Bin_68	AB_1215
AB_1215_scaffold_100350	NoBin	AB_1215
AB_1215_scaffold_100351	NoBin	AB_1215
AB_1215_scaffold_100352	NoBin	AB_1215
AB_1215_scaffold_100353	NoBin	AB_1215
